Identifier	Character	Dialogue	Filename	Line Number
GH_Beijing_busy_933a57ee		I opened my eyes once more.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1434
GH_Beijing_busy_6943c6eb	monk	You seem much more calm than when you entered this place.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1435
GH_Beijing_busy_18b74d62		A monk wearing the orange robes was standing in front of me with a gentle smile.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1437
GH_Beijing_busy_8ecc9d5f		A monk wearing the Taoist robes was standing in front of me with a inviting smile.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1439
GH_Beijing_busy_8c4a60e1	monk	I'm glad to see that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1440
GH_Beijing_busy_8c082e30		The monk turns around and orders a temple worker something in a foreign language.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1441
GH_Beijing_busy_a404334f	monk	Don't take offense to that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1442
GH_Beijing_busy_c5bb59e3	monk	I speak in my dialect.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1443
GH_Beijing_busy_a2d09e9b	monk	I just told him to bring you some water.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1444
GH_Beijing_busy_c9d136ac	monk	This temple is just as much of a house for me and him.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1445
GH_Beijing_busy_f2db5f66	monk	That's why all visitors are treated as guests.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1446
GH_Beijing_busy_0efcff18	monk	I would just like to request we do not entertain ourselves to discussion here.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1447
GH_Beijing_busy_4aae4a00	monk	It's a place of worship.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1448
GH_Beijing_busy_f2b0f682	fang	Ah.. Sure.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1449
GH_Beijing_busy_b4d8e8e2	monk	Thanks for understanding.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1450
GH_Beijing_busy_b045f069		I follow the Monk into a small room.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1451
GH_Beijing_busy_f8d5d5b7	monk	That room there is my Parivena.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1453
GH_Beijing_busy_bd869016	monk	That room there is my quarters.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1455
GH_Beijing_busy_05181f0b	monk	That room there is my cell.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1457
GH_Beijing_busy_31a21fe4	monk	This place was donated to by Ma-Shih.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1458
GH_Beijing_busy_90248a95	monk	I'm happy that he is so generous to us.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1459
GH_Beijing_busy_005e4d4c	monk	That man I asked to get water for you used to work for Ma-Shih.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1460
GH_Beijing_busy_f668e53e	monk	He took refuge here 2 winters ago.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1461
GH_Beijing_busy_10b7895e	monk	Ma-Shih fearing for his existence gave colossal donations to the temple as a result.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1462
GH_Beijing_busy_ca40ac77	monk	I wonder if such acts bear one fruit.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1463
GH_Beijing_busy_593b8d9c	monk	What would you think?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1464
GH_Beijing_busy_97d8c58c	fang	People do the wrong thing and try to make up for it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1468
GH_Beijing_busy_52cfdac5	fang	I feel they don't realize it's better to just avoid doing the wrong thing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1469
GH_Beijing_busy_10a0a332	monk	Of course, I would agree with that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1470
GH_Beijing_busy_220f9db2	monk	Yet I could argue that the money from Ma-Shih to the temple allows that man to live safely and comfortably.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1471
GH_Beijing_busy_b684e42b	fang	They seem to act in self interest a lot of the time.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1474
GH_Beijing_busy_89c1aaf0	fang	I think it's not fair that one can be cruel and then expect to be free from their consequence.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1475
GH_Beijing_busy_0a74ba9b	monk	You aren't wrong there.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1476
GH_Beijing_busy_2a81a16c	monk	But did you ever think he gave up something that enabled him material power? A portion of wealth?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1477
GH_Beijing_busy_ea254733	fang	Death is absolute so who really knows the meaning of justice in the afterlife?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1480
GH_Beijing_busy_38bdaf80	fang	Maybe people get judged differently from what we comprehend.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1481
GH_Beijing_busy_4c0bd068	monk	I like that point of yours.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1482
GH_Beijing_busy_8ff556ed	monk	Such thoughts shouldn't plague ones mind.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1484
GH_Beijing_busy_bfdfb33f	monk	Allowing things to be carried on your shoulders mentally is what creates the burden and worrying we want to run away from.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1485
GH_Beijing_busy_c0e31cba	monk	I don't know your story.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1486
GH_Beijing_busy_138a81be	monk	I don't know why you came in here looking so upset before your "prayer".	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1487
GH_Beijing_busy_fcf0af2c	monk	I'm glad you have subdued your frustrations.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1488
GH_Beijing_busy_7d0854d8	monk	but you must learn to control them at will.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1489
GH_Beijing_busy_daf06b4d		The temple servant strolled in with a glass of water.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1490
GH_Beijing_busy_15f2c627		I assume they had to use the temple well to get the water which would explain the wait.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1491
GH_Beijing_busy_6ad14a55	monk	Do you recognize him?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1492
GH_Beijing_busy_afed0091		I looked over at the fresh face of the temple servant.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1493
GH_Beijing_busy_4fac032a	fang	I'm afraid not.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1494
GH_Beijing_busy_a2294931	monk	He is Ma-Wen. The son of Ma-Shih.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1495
GH_Beijing_busy_92d274b5	Mw	Namaste.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1496
GH_Beijing_busy_92b72cd6		He did a slight bow as he did this.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1497
GH_Beijing_busy_0253444b	Mw	Have some water to drink.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1498
GH_Beijing_busy_1eb59bd7	fang	Sure.. Thank you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1499
GH_Beijing_busy_e152f88c	Mw	You're welcome.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1500
GH_Beijing_busy_d7fb23d1		I picked up the glass of water and drank it down to drown my sense of surprise.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1501
GH_Beijing_busy_2455dfb3	Mw	Don't drink so fast.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1502
GH_Beijing_busy_a7c53933		Ma Wen took a seat on the same bench as the Monk.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1503
GH_Beijing_busy_c3644d5a	Mw	It's true, I am Ma-Shih's son.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1504
MW_CONVO_1_b0330cb6	Mw	I thought he wouldn't care.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1511
MW_CONVO_1_0062b5ca	Mw	He's the type who doesn't bother anyway.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1512
MW_CONVO_1_c8b71dd5	Mw	He did try, he sent some servants to convince me but I refused.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1513
MW_CONVO_1_f59118ed	Mw	Did he lack the capacity to walk his own two feet to talk to me?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1514
MW_CONVO_1_64baaa74	Mw	After sending more people to talk to me and I keep refusing...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1515
MW_CONVO_1_db40b262	Mw	He just gave up.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1516
MW_CONVO_1_95609b99	Mw	Just like that. In three days.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1517
MW_CONVO_1_3162fe58	Mw	To be fair he lasted longer than I expected in trying to commit to his "family".	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1518
MW_CONVO_1_64fafdaa	Mw	He just donated lump sums of money so I could "live comfortably".	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1519
MW_CONVO_1_48d18189	Mw	I think it's his superstitions playing on his guilt.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1520
MW_CONVO_1_c14aa8ad	Mw	That or..	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1521
MW_CONVO_1_df2c1d8b	Mw	He just wants to remind me that I'm still depending on him.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1522
MW_CONVO_1_fe561885	Mw	I don't think he'll ever walk on his own two feet and respectfully ask me to return.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1523
MW_CONVO_1_23811985	Mw	Just because I lived lavishly and didn't have to struggle for anything did not mean I wanted to live with some narcissist.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1527
MW_CONVO_1_3935ee74	Mw	His attitude, behavior, constant escaping of laborers.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1528
MW_CONVO_1_a701ca3b	Mw	It builds up in your head.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1529
MW_CONVO_1_b101b0be	Mw	In defiance of his controlling personality I just walked out.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1530
MW_CONVO_1_73a000f1	Mw	Sometimes it's that simple to send a message to someone that dense.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1531
MW_CONVO_1_6631710b	Mw	Anything that keeps me away from him.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1535
MW_CONVO_1_1f402bf5	Mw	I'm trying not to use bad language to talk about that man after I picked up this new life.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1536
MW_CONVO_1_01c7e503	Mw	If I could still curse, you wouldn't hear the end of it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1537
MW_CONVO_1_4b2f56a3	Mw	In the end, I can do anything I want.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1538
MW_CONVO_1_adab7a8e	Mw	I have a whole life ahead of me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1539
MW_CONVO_1_1d95e007	Mw	Becoming a farmer or a peasant for all I care.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1540
MW_CONVO_1_86b82ff2	Mw	As long I never see his face ever again I don't mind what I'm doing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1541
MW_CONVO_1_baa1a106	Mw	My mother died a few winters back.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1545
MW_CONVO_1_f8dbdbbc	Mw	The only place I see her are in my dreams.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1546
MW_CONVO_1_62e4b878	Mw	I feel like it's punishment for not mourning her death for three years.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1547
MW_CONVO_1_bb9c9de2	Mw	That was my responsibility as her son.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1548
MW_CONVO_1_6e45adac	Mw	As for my siblings...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1549
MW_CONVO_1_3e1e9db3	Mw	They can go their own way.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1550
MW_CONVO_1_105c351f	Mw	They'll soon realize how toxic their "Oh so precious father" is.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1551
MW_CONVO_1_82e2297c	Mw	I know they'll do that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1552
MW_CONVO_1_734db33b	Mw	I don't want to talk about it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1556
MW_CONVO_1_916f265c	Mw	It's personal.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1557
MW_CONVO_1_1e0a0908	fang	I'm sorry.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1564
MW_CONVO_1_5c4fcd53		Ma Wen didn't budge from my offense.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1565
MW_CONVO_1_df8c7929	Mw	Forget it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1566
MW_CONVO_1_086cdda3		What could I say.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1568
MW_CONVO_1_f5f28e3d		It felt too awkward...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1569
MW_CONVO_1_e0e7efc8	empathy	Apologizing wouldn't have done anything anyway.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1570
MW_CONVO_1_e423c809	empathy	He will use this against you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1571
MW_CONVO_1_a37658bd	empathy	He tends to hide grudges.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1572
MW_CONVO_1_895b3427	Mw	Didn't you hear what I said?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1577
MW_CONVO_1_d1694059	Mw	Money doesn't feel nice when there's a narcissist pissing you off every second.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1578
MW_CONVO_1_ab0df867	Mw	Pay more attention when I'm talking.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1579
MW_CONVO_1_4a953549	Mw	I wouldn't think twice if I had to do it again.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1586
MW_CONVO_1_be6819ff	Mw	Life is much better off without him.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1587
MW_CONVO_1_7a9ce5be	Mw	Wealth doesn't necessarily bring happiness now does it?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1588
MW_CONVO_1_8cb77246	Mw	Yeah.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1593
MW_CONVO_1_1dceffcc	Mw	I probably won't get an inheritance either.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1594
MW_CONVO_1_ea6a1482	Mw	Nothing to return to.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1595
MW_CONVO_1_3d277add	Mw	So I'm going to try and live a good life wherever I may be.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1596
MW_CONVO_1_5ea84f29	monk	Quite the story.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1597
MW_CONVO_1_d5c18576	monk	I don't judge people so I took him in.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1598
MW_CONVO_1_55252d85	monk	Different lives don't matter as long there is mutual respect.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1599
MW_CONVO_1_388845e8	monk	When he came here, he was just like you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1600
MW_CONVO_1_7a06217d	monk	Everyone has a struggle.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1601
MW_CONVO_1_5d63c6e7	monk	Listening to others will ease that feeling that no-one understands your burdens.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1602
MW_CONVO_1_d4672b18	monk	Stories are a window to empathy.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1603
MW_CONVO_1_d2c1a532		Ma Wen sat there unmoving.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1604
MW_CONVO_1_b1f61f93		He seemed eerily... stolid.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1605
MW_CONVO_1_26d7b4dc	monk	I'm here to talk if you want.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1606
MW_CONVO_1_b0bfa400	monk	What about you Ma-Wen?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1607
MW_CONVO_1_030176e3		Ma Wen looks up from the floor.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1608
MW_CONVO_1_de1f85d5	Mw	I shoud attend to some duties.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1609
MW_CONVO_1_22f54b9b	monk	I guess that's alright.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1610
MW_CONVO_1_4dd543e5		Ma Wen abruptly stands up and leaves the room.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1612
MW_CONVO_1_0f3a6da7		I could hear his heavy rapid footsteps hit the wooden floors until he stormed into the next room.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1613
MW_CONVO_1_c87077d1		I didn't realise I had angered him so much.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1614
MW_CONVO_1_0a34f8ef	monk	He's still hung up on the death of his mother.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1616
MW_CONVO_1_6f8cfd11	monk	He was close to her.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1617
MW_CONVO_1_8a2eecde	monk	I don't even know what happened to his mother.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1618
MW_CONVO_1_8baa2467	monk	He only talks of fond moments.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1619
MW_CONVO_1_0f155947	fang	I should have also paid attention I guess.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1621
MW_CONVO_1_ff6dbbe8	fang	He was talking about something personal and I kept digging the wrong places.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1622
MW_CONVO_1_a6bbf1f0		Ma Wen ambled out the door.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1626
MW_CONVO_1_d005084c		Despite that I could still feel his cloud of melancholy.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1627
MW_CONVO_1_cd612404	monk	Don't overthink it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	1630
